Model name,Manufacturer,Description,Type,Year released,Height,Depth,Width,Weight,Housing material,Power,Operating power: min. [V]:,Operating power: max. [V]:,Power consumption,Internal power supply:,External power supply:,Internal Battery,Certifications:,Rechargeable with (auto)battery :,Direct car connection cable available :,Environment,Minimum Operating Temperature,Maximum Operating Temperature,Humidity resistance:,Water sand and dust proof:,Shock and vibration proof:,ROHS compliance,WEEE compliance,Performance,No. channels:,Max. simultaneous tracked channels:,Tracked satellite signals:,SBAS differential signals:,Type of measurements:,Reacqisition time [s]:,RTK Network Compatibility:,MRS functionality:,Horizontal uncertainity,code: DGNSS/RTC (constant part) [m]:,code: DGNSS/RTC (variable part) [ppm]:,phase: RTK rapid static (constant part) [m]:,phase: RTK rapid static (variable part) [ppm]:,phase: RTK kinematic (constant part) [m]:,phase: RTK kinematic (variable part) [ppm]:,phase: static post processing (constant part) [m]:,phase: static post processing (variable part) [ppm]:,phase: kinematic post processing (constant part) [m]:,phase: kinematic post processing (variable part) [ppm]:,Initialization time on the fly [s]:,Range on the fly [km]:,RTK network solution methods:,Recording,Memory medium :,Data capacity [MB]:,Type of data (on board recording):,Data input :,Communication: general,Communication ports:,Simultaneous links:,PPS Out:,Bluetooth :,Communication: links,Radio modems :,GSM; UMTS phone modems:,CDMA phone modems:,Landline modems:,Communication: Protocols,RTCM standards for differential data:,CMR standards for differential data:,Other formats for differential data:,NMEA output format:,other output formats:,L-Band Compatible:,Configuration method :,More information,Distinguishable features :
V60 GNSS RTK System,"Hi-Target Surveying Instrument Co., Ltd",NA,NA,2014,0.096,0.096,0.186,1.25,Magnalium,,NA,NA,3.5,7.4V,6V to 28V DC,12,CE; FCC; KC; IP67,Yes,No,,-45,65,100,IP67,3m,NA,NA,,NA,NA,GPS; GLONASS; Galileo; BDS,YES,NA,NA,Y,NA,,0.25,1,0.01,1,0.008,1,0.0025,0.5,0.01,1,8,NA,VRS; RTCM3,,YES,9216,GNS; RINEX,keys,,SD Card; USB; RS-232 /422 Serial port; Compact Flash; WiFi; Radio; GSM; UMTS; Event Input,NA,N,Y,,Internal and external,Internal,NONE,NONE,,RTCM 2.1; 2.3; 3.0; 3.1; 3.2 input and output,CMR; CMR+; sCMRx input and output,NA,NMEA-0183 GSV; AVR; RMC; HDT; VGK; VHD; ROT; GGK;,NA,NA,NA,,NA
T300 GNSS Receiver,ComNav,Ultra small and super light; T300 is a product which combines lots of market proved advantages together. It can track all the working GNSS constellations. The strong anti-interference ability of the receiver makes it possible to work in any environment.,NA,2013,0.075,0.158,0.158,0.95,polycarbonat,,5,27,2.85,2 Li-Ion batteries:1.8Ah,5-27DC,8,FCC;CE,Via external charger,N,,-40,65,100% condensation,Y,2 meters,Y,Y,,256,256,"GPS: L1 C/A code; L1/L2 P code; L5;
 BeiDou: B1; B2; B3;
 GLONASS L1; L2",WASS; EGNOS; MASAS; GAGAN,P code; C/A code; Full carrier phase,2,Y,Y,,0.25,1,0.005,1,0.01,0.5,0.0025,1,0.01,0.5,10,100,VRS; FKP; PRS; RTCM3,,Internal Flash Memory,256,ComNav GNSS raw data,Auto,,1 Serial RS232 Lemo,Y,N,Y,,Internal,3G,3G,N,,RTCM2.X; RTCM3.X,CMR/CMR+,ComNav Binary,NMEA0183,ComNav Binary,Y,CRU OEM Board Control Software,,"1. Ultra small
2. Super light
3. Many user-friendly conveniences built in
4. GPS L1/L2/L5; BeiDou B1/B2/B3; GLONASS L1/L2
5. Low power consumption
6. Support long baseline E-RTK
7. Base and rover exchangeable"
UB352 Tri-System Hepta-Frequency Compact Board,Unicore Communications,NA,NA,2014,0.013,0.046,0.071,0.026,NA,,3.27,3.35,1.3,3.3,0,0,ROHS; CE,NA,NA,,-40,85,95% Non Condensing,NA,MIL-STD-810,Y,Y,,192,70,"GPS L1/L2
GLONASS L1/L2
BDS B1",WAAS; EGNOS; GAGAN; MSAS,C/A code; P code; C code,10,Y,Y,,0.3,1,0.01,1,0.01,1,0.025,1,0.01,1,10,30,VRS; FKP,,NA,0,NA,NA,,"3 x UART (LVTTL) 
1 x 1PPS (LVTTL)",N,Y,N,,NA,NA,NA,NA,,RTCM 2.x/3.x,CMR,NA,NMEA-0183,Unicore,L1;L2,PC software; web interface,,"É?Ω Compatible with Industry Standard GNSS OEM boards
É?Ω Support  GPS L1/L2+ GLONASS L1/L2+BDS B1/B3
É?Ω Centimeter level RTK
É?Ω Better than 1mm carrier phase precision
É?Ω Better than 0.2∂¯ heading accuracy"
UB282 GPS/GLN Dual Antenna High Precision Board,Unicore Communications,UB280 is BDS/GPS dual-system dual-antenna board for precise RTKposition and heading.The high precisionboard is developed by Unicore based on its mature BeiDou compatible multi-system GNSSSoC.,NA,2014,0.0114,0.06,0.1,0.05,NA,,3.27,3.35,2.6,3.3,0,0,ROHS; CE,NA,NA,,-40,85,95% Non Condensing,NA,MIL-STD-810,Y,Y,,384,112,"GPS L1/L2
GLONASS L1/L2",WAAS; EGNOS; GAGAN; MSAS,C/A code; P code,10,Y,Y,,0.3,1,0.01,1,0.01,1,0.025,1,0.01,1,10,30,VRS; FKP,,NA,0,NA,NA,,1xLAN; 1x1PPS(LVTTL); 1xUART(RS-232); 2xEvents; 2xUART(LVTTL),N,Y,N,,NA,NA,NA,NA,,RTCM 2.x/3.x,CMR,NA,NMEA-0183,Unicore,L1;L2,PC software; web interface,,"É?Ω Compatible with main stream GNSS OEM boards in dimension
É?Ω Support GPS L1/L2+GLN L1/L2
É?Ω Support RTK function of mobile base station
É?Ω Millimeter-leveled carrier phase observed value
É?Ω High reliability; high stability and appropriate for severe working environment"
UB380 High Precision Board,Unicore Communications,UB380 is BDS/GPS/GLONASS Tri-system Octa-Frequency Board developed by Unicore based on its mature Beidou compatible multi-system GNSS SoC. UB380 provides an ideal solution for high precisioning; navigation; and GBAS applications.,NA,2014,0.1,0.001,0.06,0.05,N/A,,3.3,3.3,2,3.3,3.3,0,ROHS; CE,N/A,N/A,,-40,85,95% non-condesing,N/A,MIL-STD-810,Y,Y,,384,224,"BeiDou B1/B2/B3
GPS L1/L2/L5
GLONASS L1/L2",WAAS; EGNOS; GAGAN; MSAS; É?›,full carrier phase; C/A code; P code; C code,1,Y,Y,,0.3,1,0.003,1,0.01,1,0.003,0.5,0.01,1,10,100,VRS; FKP; PRS; RTCM3,,USB MASS STORAGE,16000,RAW DATA; NMEA-0183; UNICORE,PC,,1x LAN; 1x UART(RS-232); 2x UART(LV-TTL); 1x1PPS(LVTTL); 2x Events,Y,Y,N,,N/A,N/A,N/A,N/A,,RTCM V2.3; V3.0; V3.2,CMR,N/A,NMEA-0183,Unicore Protocol,GPS L1/L2/L5; GLONASS L1/L2,PC software; web interface,,"É?Ω Support BDS B1/B2/B3+GPS L1/L2/L5+GLONASS L1/L2
É?Ω Better than1mm carrier phase precision 
É?Ω Centimeter level high precision RTK positioning 
É?Ω Better than 0.2∂¯ heading accuracy 
É?Ω Compatible with Industry Standard GNSS boards 
É?Ω In support of single system positioning 
É?Ω Advanced technology o fmulti-path mitigation and low elevation angle tracking
É?Ω Support various interfaces such as Ethernet; 1PPS;and External oscillator input etc. 
É?Ω SupportHTTP∆?ÅFTP∆?ÅNTRIP"
LT500T GNSS Handheld Receiver,CHC Navigation,The  LT500T  can  achieve  decimeter  accuracy  to  meet  your  professional  application  demands  in  area  of  utilities;  agriculture;  forestry.,NA,2015,0.077,0.236,0.097,0.897,NA,,NA,NA,NA,NA,NA,13,NA,Yes,NA,,-30,70,NA,IP67,1.2 m survive from concrete IP 67 Water dust proof,NA,NA,,220,220,GPS; GLONASS; Galileo; BeiDou,NA,NA,1,Y,NA,,0.05,1,NA,NA,0.1,1,0.05,1,NA,NA,NA,NA,3G,,16384,NA,NA,NA,,SD Card; USB; Compact Flash; Bluetooth; WiFi; GSM; UMTS; Event Input,NA,NA,Y,,NA,UMTS/HSPA+: 800/850/900/1900/2100 MHz EDGE/GPRSGSM,NA,NA,,version 2.1; 2.2; 2.3; 3.0;3.1,CMR/CMR+/CRMx,RTCM3.x/RTCM2.x,Standard NMEA -0183,NA,NA,NA,,High precise GNSS handheld device
X20+ GPS,CHC Navigation,The  CHC  X20+  L1 GPS receiver is  a powered by a high performance GPS engine with the latest tracking technology. Static surveys are reliably completed with the shortest possiable site occupations by this solid receiver.,NA,2006,0.065,NA,0.18,0.8,NA,,7.4,7.4,0.8,7.4,9 - 18 VDC,NA,CE,Y,N,,-30,60,100% condensation,IP67,IP 67; MIL STD 810F,NA,NA,,12,NA,GPS L1,WAAS; EGNOS; MSAS,full carrier phase; C/A code,NA,N,NA,,NA,NA,NA,NA,NA,NA,0.005,1,0.1,1,NA,NA,NA,,Flash card,64,HCN; RINEX,On the controller,,RS232; USB,NA,NA,NA,,N/A,N/A,N/A,N/A,,NA,NA,NA,NMEA0183,NA,NA,PC Software; Controller,,The CHC X20 L1 GPS receiver is powered by the latest high-performance GPS tracking technology making post processing static and kinematic surveys fast; reliable; and affordable for every land surveyor; construction and engineering company.
M600 Enclosure GNSS  Receiver,ComNav,M600 is designed for high accuracy heading and positioning purpose. With the unique design and the powerful integration ability; M600 provides the solutions to different kinds of moving carriers such as vehicle; ship; harbor construction machine; aircraft; radar and other high accuracy requested projects.,NA,2012,0.08,0.2,0.145,1.3,Aluminum,,10.5,28,3,No,Yes,0,CE,No,No,,-40,70,100% condensation,IP67; can float on the water,survives a 2 meters drop on to concrete,Y,Y,,120,120,"GPS: L1 C/A code; L1/L2 P code 

Beidou: B1; B2; B3(optional)",WAAS; EGNOS; MASAS,C/A code; P code; Full Carrier Phase,2,Y,Y,,0.25,1,0.0025,1,0.01,1,0.0025,1,0.01,1,10,100,VRS; FKP; PRS; RTCM3,,Removable SD Card,100,ComNav binary format,Auto; Qwerty Keyboard,,2 RS 232 ports,Y,Y,N,,Internal,External,External,External,,RTCM2.X; RTCM3.X,CMR/CMR+,ComNav Binary,NMEA0183,ComNav Binary,Y,PC software,,"1. Dual antenna connectors design; moving baseline function
2. GPS+Beidou dual satellite system calculating
3. Configurable for different kinds of data output 
4. Built in over current and over voltage protection system"
K508 GNSS OEM Board,ComNav,Combining all the functions and current satellite systems in a compact board; the K508 is very easy to configure and customize. It delivers excellent experience for developers. With the outstanding performance; K508 could meet the requirements of any high precision demanding projects.,NA,2013,0.0116,0.06,0.1,0.042,N,,3.3,6,1.8,N,3.3-6V,NA,RoHS,N,N,,-40,85,95%,N,Y,Y,N,,198,198,GPS; GLONASS; BEIDOU,WAAS; EGNOS; MSAS,C/A code; P code; Full Carrier Phase,2,Y,Y,,0.25,1,0.0025,1,0.01,0.5,0.0025,1,0.01,0.5,10,100,VRS; FKP; PRS; RTCM3,,Stroage card,100,ComNav Binary,auto,,3 serial ports,Y,Y,N,,N,N,N,N,,RTCM2.X; RTCM3.X,CMR/CMR+,ComNav Binary,Version 2.3,ComNav Binary,Y,PC,,"GPS L1/L2/L5; BeiDou B1/B2/B3; GLONASS L1/L2
Support long base line E-RTK1"
X91+ GNSS,CHC Navigation,The  CHC  X91+  GNSS  is  a  compact  GNSS  receiver  designed  for high accuracy and productivity ∂ even in harsh environments. Powered by 220 channels GNSS core engine; the X91+ GNSS provides a cost∂effective solution to any surveying project,NA,2013,0.08,NA,0.18,1.35,NA,,NA,NA,2.6,7.4V,NA,6,CE; FCC,NA,NA,,-40,65,100% condensation,IP67,IP67; MIL STD 810F,NA,NA,,220,NA,"GPS: L1C/A; L1C; L2C; L2E; L5 
GLONASS: L1C/A;L1P;L2C/A;L2P; L3 
Galileo: E1; E5A; E5B(test) 
BeiDou: B1; B2(optional)",WAAS; EGNIS; MSAS,full carrier phase;C/A;P,NA,Y,NA,,NA,NA,NA,NA,0.008,1,NA,NA,NA,NA,10,NA,VRS; FKP; PRS; RTCM3; CMR; CMR+,,Flash card,4000,NA,HCN; RNIEX,,RS232; USB,NA,Y,Y,,Internal,Internal,External,External,,Version 2.1; 2.3; 3.0,NA,NA,NMEA0183,NA,NA,Data Controller; PC Software,,NA
LT500H GNSS Handheld Receiver,CHC Navigation,The  LT500H  is  designed  to  realize  reliable  and  accurate  positioning for survey and GIS applications with centimeter level position accuracy.,NA,2015,0.077,0.236,0.097,0.897,NA,,NA,NA,NA,NA,NA,13,NA,Yes,NA,,-30,70,NA,IP67,1.2 m survive from concrete IP 67 Water dust proof,NA,NA,,120,120,GPS; GLONASS; Galileo; BeiDou,NA,NA,1,Y,NA,,0.05,1,NA,NA,0.05,1,0.05,1,NA,NA,NA,NA,3G,,16384,NA,NA,NA,,SD Card; USB; Compact Flash; Bluetooth; WiFi; GSM; UMTS; Event Input,NA,NA,Y,,NA,UMTS/HSPA+: 800/850/900/1900/2100 MHz EDGE/GPRSGSM,NA,NA,,version 2.1; 2.3; 3.0;3.1,CMR/CMR+,RTCA/RTCM2.x/RTCM3.x,Standard NMEA -0183,NA,NA,NA,,High precise GNSS handheld device
LT500N GNSS Handheld Receiver,CHC Navigation,Equipped  with  professional  GPS  engine;  the  LT500N  prepares you  to  capture  sub-meter  data  with  extremely  affordable  price.,NA,2015,0.077,0.236,0.097,0.897,NA,,NA,NA,NA,NA,NA,13,NA,Yes,NA,,-30,70,NA,IP67,1.2 m survive from concrete IP 67 Water dust proof,NA,NA,,12,12,GPS,NA,NA,1,Y,NA,,0.05,0.5,NA,NA,0.5,1,0.05,1,NA,NA,NA,NA,3G,,16384,NA,NA,NA,,SD Card; USB; Compact Flash; Bluetooth; WiFi; GSM; UMTS; Event Input,NA,NA,Y,,NA,UMTS/HSPA+: 800/850/900/1900/2100 MHz EDGE/GPRSGSM,NA,NA,,version 2.1; 2.2; 2.3,CMR,RTCM2.x,Standard NMEA -0183,NA,NA,NA,,High precise GNSS handheld device
N71 GNSS Sensor,CHC Navigation,The  CHC  N71  GNSS  sensor  provides  a  cost∂™effective  answer  to demanding applications such as geodetic reference station; academic research; precision agriculture RTK network; deformation monitoring;centimeter accuracy RTK sensor for marine survey; dredging or any GPS/GNSS machine guidance when high performances and reliability are required.,NA,2012,0.145,0.051,0.195,1.35,NA,,NA,NA,NA,NA,9-18 VDC,NA,FCC; CE,N,N,,-30,65,100% condensation,IP65,survives a 1.5-meter drop on to concrete,NA,NA,,220,NA,GPS; GLONASS; Galileo,WAAS; EGNOS; MSAS,NA,NA,Y,NA,,NA,NA,NA,NA,0.01,1,0.0025,1,NA,NA,NA,NA,NA,,Flash Card,64,NA,PC,,LAN port; Lemo 10 pin,Y,Y,N,,Internal,Internal,NA,NA,,2.1; 2.3; 3.0;,CMR; CMR+,NA,NMEA0183,NA,NA,PC software; Web Interface,,NA
X900+ GNSS,CHC Navigation,The  X900+  GNSS  receiver  from  CHC  leverages  the  latest  GNSS Technology by interating 120 channels with the ability to track GPS;GLONASS;  Galileo  and  Beidou  and  field  software  dedicated  to topographic and construction surveying. The X900 series is one of the most cost-effective GNSS receiver selected by large number of surveyors for its outstanding performances and reliability.,NA,2012,0.084,0.19,0.2,1.4,NA,,7.4,7.4,2.8,7.4,9-18 VDC,5,FCC; CE,Y,N,,-30,65,100% condensation,IP67,IP 67; MIL STD 810F,NA,NA,,120,NA,GPS; GLONASS; Galileo; Compass; SBAS,WAAS; MSAS; EGNOS,full carrrier phase; C/A code,NA,Y,NA,,NA,NA,NA,NA,0.01,1,0.005,1,NA,NA,10,NA,VRS; FKP; PRS; RTCM3,,Flash Card,64,HCN; RINEX,On the controller,,RS232; USB,Y,Y,Y,,Internal and external,Internal and external,External,External,,2.1; 2.3; 3.0,CMR; CMR+,NA,NMEA0183,NA,NA,Controller Software; PC software,,The X900+ GNSS receiver from CHC leverages the latest GNSS technology by integrating 120 channels tracking GPS; GLONASS; Galileo and Compass and field software dedicated to topographic and construction surveying.
S750,South,NA,NA,2012,0.057,0.215,0.097,0.7,hard plastics,,7.4,7.4,1.48,4200mAh Li-ion battery built in; 7.4V,NA,10,CE,Y,N,,-20,60,100%; condensing,IP67,IP67; Withstand drops from 1.5m to concrete,N,N,,14,14,GPS L1; C/A with carrier phase smoothing,MSAS; EGNOS; WAAS; GAGAN,C/A,1,Y,Y,,0.5,NA,0.003,1,0.5,1,0.003,1,0.2,1,10,NA,VRS;FKP;RTCM3,,Internal Memory; Micro SD card,256,binary,pen; keys; qwerty keyboard,,MiniUSB 2.0,Y,N,Y,,N,internal,internal,internal,,Y,NA,Y,Y,Y,NA,PC or field software,,"Outstanding EVEREST Multipath Technology;
Professional GPS Module;
Powerful Fieldwork Software;
High Configuration Plus Mobile Phone Facility;
Easy Access to CORS"
S86T,South,NA,NA,2008,0.078,0.158,0.158,1.35,hard plastics,,7.4,7.4,2,7.4V,12V ~15V DC,20,CE,Y,N,,-40,65,100% condensing,IP67; immersion to depth of maximum 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,"GPS: Simultaneous L1 C/A; L2E; L2C; L5;
GLONASS: Simulaneous L1 C/A; L1 P; L2 C/A (GLONASS M Only); L2 P;
SBAS: Simultaneous L1 C/A; L5;
GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC;
COMPASS: B1;B2;
QZSS: L1 C/A; L1 SAIF; L2C; L5;",L1 C/A; L5,C/A; P,1,Y,NA,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,10,NRS; VRS; FKP; PRS; RTCM3,,Internal,64,binary,qwerty board,,"Standard USB2.0 port
RS-232 port",Y,N,Y,,internal/external,internal,internal,N,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,PC or field software; controller,,"Built-in Transmitting Radio Module;
Built-in GPRS/GSM Module;
Open Port for External Radio Access;
LCD scree;
Built-in double batteries"
S82V,South,NA,NA,2010,0.096,0.184,0.184,1.2,hard plastics,,7.4,7.4,2,removable 7.4V; 2500mAh lithium-lon battery,12V ~15V DC,10,CE; FCC,N,Y,,-40,75,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,"GPS: Simultaneous L1 C/A; L2E; L2C; L5;
GlONASS: Simultaneous L1 C/A; L1P; L2 C/A (GLONASS M Only); L2 P;
SBAS: Simultaneous L1 C/A; L5;
GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC; Compass: B1; B2;
QZSS: L1 C/A; L1 SAIF; L2C; L5",GPS; GLONASS; GALILEO; COMPASS,C/A; P; C,1,Y,NA,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; RTCM3,,internal,4096,binary,qwerty board,,"Standard USB2.0 port;
RS-232 port: Baud rates up to 115200",Y,N,Y,,internal and external,internal,internal,N,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,PC or fieldsoftware; controller,,"customized radio frequency options;
build-in transmitting radio module;
huge internal memory;
separated module packs;"
S82N,South,NA,NA,2013,0.096,0.184,0.184,1.2,hard plastics,,7.4,7.4,2,removable 7.4V; 2500mAh lithium-lon battery,12-15V DC,10,CE,N,Y,,-40,75,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,120,120,"GPS L1; L2; L2C; 
GLONASS: L1/L2;
COMPASS: B1;
GALILEO: E1
ABAS
QZSS",GPS; GLONASS; GALILEO; COMPASS,C code,1,Y,Y,,0.25,1,0.005,0.5,0.001,1,0.005,0.5,0.001,1,10,20,NRS; VRS; FKP; PRS; RTCM3,,internal,64,binary,qwerty keyboard,,"Standard USB2.0 port; 
RS-232 port: baud rates up to 115200;",Y,N,Y,,internal and external,internal,internal,N,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,Y,,The fieldwork software includes SOUTH EGStar and Carlson SurvCE for a complete field-to-office solution.
NRS S8+,South,NA,NA,2010,0.202,0.163,0.075,1.4,NA,,12,15,3,NA,110-265V AC,10,CE,Y,Y,,-40,75,100% non-condensing,IP67,IP67,N,N,,220,NA,L1/L2/L5,SBAS,Full carrier phase;C/A code;P code,45,Y,NA,,NA,NA,NA,NA,0.003,0.5,0.003,0.5,NA,NA,8,20,VRS; FKP; PRS; RTCM3,,Internal,4096,ASCII: NMEA-0183 and binary; TrimbleGSOF,keys; board,,Serial port(RS232); USB; RJ45,Y,Y,N,,External,NA,NA,NA,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,NMEA 0183 GSV,NA,NA,PC software,,NA
S82,South,NA,NA,2013,0.1,0.205,0.205,1.47,hard plastics,,7.4,7.4,2,removable 7.4V; 2500mAh lithium-lon battery,12-15V DC,10,CE,N,Y,,-45,60,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67;2.5m (8.2ft) pole drop,N,N,,220,220,"GPS: Simultaneous L1 C/A; L2E; L2C; L5; 
GLONASS: Simultaneous L1 C/A; L1 P; L2 C/A (GLONASS M Only); L2 P; 
SBAS: Simultaneous L1 C/A; L5; 
Galileo: Simultaneous L1 BOC; E5A; E5B; E5AltBOC; 
Compass: B1; B2; 
QZSS: L1 C/A; L1 SAIF; L2C; L5;",GPS; GLONASS; GALILEO; COMPASS,C/A; P; C,1,Y,NA,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; PRS; RTCM3,,Internal memory;SD card,4096,binary,qwerty keyboard,,"Standard USB2.0 port; 
RS-232 port: baud rates up to 115200;",Y,N,Y,,internal and external,internal,internal,N,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,PC or fieldsoftware; controller,,"Extremely Rugged Housing; 
Outstanding Waterproof Capability; 
Powerful Function Panel; 
Intuitive Voice Guide;"
S86,South,NA,NA,2013,0.122,0.165,0.168,1.85,hard plastics,,7.2,7.2,2,7.2V; 8800mAh lithium-lon battery units built-in,12-15V DC,20,CE,Y,Y,,-45,60,100%; condensing,IP67; immersion to depth of maximum 1m (3.28ft),IP67; 2.5m (8.2ft) pole drop,N,N,,220,220,"GPS: Simultaneous L1 C/A; L2E; L2C; L5;
GLONASS: Simultaneous L1 C/A; L1 P; L2 C/A (GLONASS M Only); L2 P;
SBAS: Simultaneous L1 C/A; L5;
Galileo: Simultaneous L1 BOC; E5A; E5B; E5AltBOC;
Compass: B1; B2;
QZSS: L1 C/A; L1 SAIF; L2C; L5;",GPS; GLONASS; GALILEO; COMPASS; QZSS,C/A; P; C,1,Y,NA,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; PRS; RTCM3,,Internal,64,binary,qwerty keyboard,,"Standard USB2.0 port;
RS-232 port: Baud rates up to 115200;",Y,N,Y,,internal and external,internal,internal,N,,version 2.0; 2.1; 2.2; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,PC or field software; controller,,"Advanced OLED Screen
Outstanding Waterproof Capability
Extremely Rugged Housing
Inbuilt Radio Transmitter
Inbuilt Double Batteries"
S86S,South,NA,NA,2013,0.122,0.165,0.168,1.8,hard plastics,,7.2,7.2,2,7.2V; 8800mAh lithium-lon battery units built-in,12-15V DC,20,NA,N,N,,-45,60,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67;2.5m (8.2ft) pole drop,Y,Y,,72,72,"GPS: Simultaneous L1 C/A; L2E; L2C; L5; 
GLONASS: Simultaneous L1 C/A; L1 P; L2 C/A (GLONASS M Only); L2 P; L3;",GPS; GLONASS;,C/A; P; C,1,Y,Y,,NA,NA,NA,NA,NA,NA,0.0025,1,NA,NA,NA,NA,N,,internal,4096,binary,qwerty board,,USB 2.0/COM Port (RS-232),Y,N,N,,unavailable,unavailable,unavailable,unavailable,,unavailable,unavailable,unavailable,unavailable,STH format,unavailable,PC or fieldsoftware,,"Advanced OLED Screen; 
Outstanding Waterproof Capability; 
Extremely Rugged Housing;"
S660,South,NA,NA,2014,NA,NA,NA,NA,ABS industrial-level plastic,,NA,NA,NA,3.7V,5.0V,11,NA,YES,NO,,-20,60,YES,YES,YES,Y,Y,,220,NA,"GPS:L1 C/A; L2E; L2C; L5; with carrier phase smoothing
GLONASS:L1 C/A; L2 C/A
BDS:B1; B2
Galileo:E1; E5A; E5B; E5AltBOC
QZSS:L1 C/A; L1 SAIF; L2C; L5",L1 C/A; L5,full carrier phase,1,Y,N,,0.25,1,NA,NA,0.008,1,NA,NA,NA,NA,8,30,NRS;VRS;RTCM3,,NO,0,NO,NO,,Mini USB2.0,Y,N,Y,,NO,NO,NO,NO,,RTCM2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,RTCA,All standard NMEA format,TSIP,NA,mobile/PDA /PC/software and controller,,Dual mode for bluetooth and enble to use variety of  PDA mobile terminal with all kinds of operating system.
OEM617D,NovAtel,OEM617DÉ?Ω is a compact; dual-antenna; dual-frequency; single-card receiver offering  ALIGN∂© heading functionality and RT-2∂© Real Time Kinematic GNSS positioning technology; for dynamic and static environments. OEM617D offers complete dual-frequency operation with GPS; GLONASS and BeiDou signals and it also tracks Galileo; SBAS and QZSS.,NA,NA,0.046,0.071,0.011,0.024,NA,,1.9,2.1,2,NA,NA,NA,NA,NA,NA,,-40,85,95% non-condensing,NA,NA,NA,NA,,120,NA,"GPS L1; L2; L2C
GLONASS L1; L2
BeiDou B1; B2
Galileo E1; E5b
SBAS
QZSS",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,"3LVTTL up to 921;600 bps
2 CAN  - 1 Mbps
1 USB - 12 Mbps
Pulse per second output",NA,Y,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA
OEM615,NovAtel,The dual-frequency OEM615É?Ω offers future ready; precise positioning for space constrained applications.  OEM615 tracks all current GNSS constellations including GPS; GLONASS; Galileo; BeiDou and QZSS. It features configurable channels to optimize satellite availability in any condition; no matter how challenging.,NA,NA,0.046,0.071,0.011,0.024,NA,,1,1.2,1.1,NA,NA,NA,NA,NA,NA,,-40,85,95% non-condensing,NA,NA,NA,NA,,120,NA,"GPS L1; L2; L2C
GLONASS L1; L2
BeiDou B1
Galileo E1
SBAS
QZSS",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,"3 LVTTL up to 921;600 bps
2 CAN Bus - 1 Mbps
1 USB - 12 Mbps
Pulse Per Second ouput",NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA
M300 Pro GNSS Receiver,ComNav,NA,NA,2015,0.75,0.202,0.163,2.4,Carbon magnesium alloy,,9.5,15,3.5,9.5,15,16,NONE,YES,NONE,,-40,80,100% no condensation,IP 67; survives temporary immersion to depth of 1m,rugged aluminum case plus rubber ring seal,Y,Y,,256,256,GPS; BeiDou; GLONASS; Galileo (reserved); QZSS (reserved),WAAS; EGNOS; MSAS; GAGAN,C/A code; P code; C code,2,Y,Y,,0.25,1,0.0025,1,0.01,0.5,0.0025,1,0.01,0.5,10,100,VRS; FKP; PRS; RTCM3,,Storage card,100,ComNav Binary,auto,,3 serial ports,Y,Y,N,,N,N,N,N,,RTCM2.X; RTCM3.X,CMR/CMR+,ComNav Binary,Version 2.3,ComNav Binary,Y,PC; web interface,,GPS L1/L2/L5; Beidou B1/B2/B3; GLONASS L1/L2; Supportlong base line E-RTK1
